id,name,target_sentence_count,language,native_name,is_contributable,is_translated,text_direction,is_african,african_countries
1,en,5000,English,English,1,1,LTR,False,[]
2,de,5000,German,Deutsch,1,1,LTR,False,[]
3,fr,5000,French,Français,1,1,LTR,False,[]
4,cy,5000,Welsh,Cymraeg,1,1,LTR,False,[]
5,br,5000,Breton,Brezhoneg,1,1,LTR,False,[]
6,cv,5000,Chuvash,Чӑвашла,1,1,LTR,False,[]
7,tr,5000,Turkish,Türkçe,1,1,LTR,False,[]
8,tt,5000,Tatar,Татар,1,1,LTR,False,[]
9,kab,5000,Kabyle,Taqbaylit,1,1,LTR,True,['Algeria']
10,ky,5000,Kyrgyz,Кыргызча,1,1,LTR,False,[]
11,ga-IE,5000,Irish,Gaeilge,1,1,LTR,False,[]
12,sl,5000,Slovenian,slovenščina,1,1,LTR,False,[]
13,ca,5000,Catalan,català,1,1,LTR,False,[]
14,it,5000,Italian,Italiano,1,1,LTR,False,[]
15,zh-TW,5000,Chinese (Taiwan),華語（台灣）,1,1,LTR,False,[]
16,eo,5000,Esperanto,Esperanto,1,1,LTR,False,[]
17,nl,5000,Dutch,Nederlands,1,1,LTR,False,[]
18,zh-CN,5000,Chinese (China),汉语（中国大陆）,1,1,LTR,False,[]
19,zh-HK,5000,Chinese (Hong Kong),中文（香港）,1,1,LTR,False,[]
20,ace,750,Acehnese,Bahsa Acèh,0,0,LTR,False,[]
21,an,750,Aragonese,Aragonés,1,1,LTR,False,[]
22,ar,5000,Arabic,العربية,1,1,RTL,True,"['Algeria', 'Egypt', 'Sudan', 'Libya', 'Tunisia', 'Morocco']"
23,as,5000,Assamese,অসমীয়া,1,1,LTR,False,[]
24,ast,750,Asturian,Asturianu,1,1,LTR,False,[]
25,az,5000,Azerbaijani,Azərbaycanca,1,1,LTR,False,[]
26,bg,5000,Bulgarian,Български,1,1,LTR,False,[]
27,bn,5000,Bengali,বাংলা,1,1,LTR,False,[]
28,bxr,750,Buryat,Буряад,0,0,LTR,False,[]
